0,1,2,3,4,5,6,7,8,9,10
39,"Pocky goes in the mouth.","My GF lets me come in her mouth (pictogram).","It&#039;s my dick in a box!","&quot;SSsshhh!! we are IN the library&quot;, she said, expressed with a finger over her mouth.","I use chopsticks to put food in my mouth.","In</strong>diana Jones thrust a walking stick</em><strong> in</strong> the crocadile&#039;s <em>mouth just<strong> in time!","A walking stick in</strong> a mouth? That&#039;s<strong> in-possible!","Don&#039;t put that stick</em> in your <em>mouth. You done know where it&#039;s been.","IN the MIDDLE.","Putting a bookmark in-between the pages of a book."
40,"It takes many drops of ten to get to a thousand.","One T = one thousand.","1000 = 10</em>^3 (<em>3 strokes).","The primitives of drop</em> and <em>needles are at work here. One drop from this needle could save thousands of lives!","The number ten bought a fancy hat for a THOUSAND yen!","I heard &quot;DROP and give me TEN&quot; about a THOUSAND times when I joined the army.","Drop ten bucks to get a thousand pennies.","A thousand</strong> <strong>CENTS drops</em> to <em>ten dollars. (ON reading is SEN).","If I DROPped a thousand needles into a haystack, I might be able to find TEN.","One drop</em> from this <em>needle could save a thousand lives!"
41,"What is in a mouth</em> that permits it to speak a <em>thousand things? Yes, a tongue.","A thousand mouths speak the same TONGUE.","Kissing a thousand</em> <em>mouths eventually gets you some tongue.","Thousand mouths, a thousand tongues.","When you drop because you are <a href="/study/kanji/0.000000E+0050.0000000X0P+04">古</a> (<span class="frnr">#16</span>), you stick your tongue out.","The TONGUE</strong> allows the THOUSAND different sounds of English to come out of your MOUTH. (True story - English has 1000+ distinct sounds, while Japanese has about 80. So think of Japanese people struggling to pronounce correctly because they can&#039;t get their<strong> tongues to cooperate.)","There are a thousand</em> tastebuds on your tongue in your <em>mouth.","A tongue allows the mouth to speak thousands of words.","My tongue was in a thousand mouthes.","Kissing a thousand mouths will get you some tongue."
42,"It is a thousand or ten? I need my measuring box.","I can fit a thousand needles into my measuring box, but only if I bend the thousand.","A measuring box is a square wooden box that was used to measure one thousand grains of rice (needles) in feudal Japan. It was supposed to be enough to feed a working man for one day.","Be careful when drinking sake out of a deep measuring box. The hangover can feel like a thousand needles.","Give me a thousand smacks with a walking stick if I forget the Kanji for measuring box again!","Is it 1000</em> (千) or <em>10 (十)? Let me get my measuring box.","It takes to long to count 1000 needles or nails, so a box is used to messure them out. Fill the measuring box and that is roughly 1000.","10-10 -&gt; 1010 -&gt; a <a href="/study/kanji/0.000000E+005"Let me &quot;shou&quot; (show) you how bad I am at &quot;masu&quot; (math) - I need my measuring box to add 1000 and 10. &gt;_&lt; &quot;masu&quot;: ます &quot;shou&quot;: しょう.","This MEASURING BOX has a scale from a Thousand</em> on the LEFT to <em>Ten on the RIGHT."
43,"This kanji does not mean &quot;get up&quot; or &quot;awake.&quot; It means rising, like the rising of a salary, or a promotion. STORY: You know that your salary has RISEN UP when your MEASURING BOX has enough dollar bills in it to reach the SUN.","We Measure the Sun to decide when we should Rise Up out of bed.","If the sun</em> sat on the <em>measuring box made of a thousand needles he would rise up very quickly.","In old Japan the villagers used to put their measuring box on an east facing window ledge so that the sun would rise up above it and hence would be the first thing they saw in the morning. This was to remind them to use the box to measure out their kome for asagohan and ensure their store of rice would last the whole week.","&quot;When sun RISE UP, get sake cup.&quot;","The only way to rise up at your job in Japan is to drink sake from measuring boxes</em> every <em>day with your coworkers.","This is a pictograpgh of a couple, holding hands and watching the sun RISE UP. The girl is the one on the left with the long hair who&#039;s sitting with her legs to the site and reaching to kiss her husband on the right who she&#039;s holding hands with.","A thousand and ten naked people held hands underneath the blazing hot sun. That would cause most guys to rise up. *vividness is key.","This is a pictogram of a sun</em> over a Thermometre (<em>measuring cup</em>). The heat of the <em>sun causes the mercury in the thermometre to rise up.","Use your measure box to measure how high the sun rises up."
44,"Nine plus a drop rounds it off to ten!","Watch out for <a href="/study/kanji/0.000000E+0050X0P+040X0P+0A">太</a> (<span class="frnr">#126</span>). Here Heisig could have added a &quot;t&quot; and we would have had a much better keyword : rotund</strong>. <strong>Rotund</strong> is more specific than &quot;round&quot; which begs for confusion with <a href="/study/kanji/0.000000E+005"Cut the tail off of a 9 and it will be round.","In nine months a drop of sperm can make a woman very round.","NINE plus a little DROP to round up to ten.","When I put my sperm drop in my wife she becomes round for 9 months.On : ガン Kun : まる.","Drop</em> off the tail of a Roman-written <em>9</em>, and you&#039;re left with something ROUND. ::::: <a href="/study/kanji/"Nine</em> is just a <em>drop</em> away from being a <em>round number.","An early name for baseball was Rounders. So, a variation on baseball (the drop).","Nine</em> and a <em>drop, let&#039;s just round it up to ten!"
45,"The decimal system uses drops</em> of <em>ten as a measurement.","Use two lines (X axis and Y axis) to measure the dot (on the graph).","Glue two sticks together to make the best measurement. (I always remember the primitive, but never the original keyword.)","Take your medicine, exactly ten</em> <em>drops. Picture yourself measuring it out with a pipette.","A single shaku is divided into 10 sun (寸). The original definition for shaku was the average distance between growth nodes on a bamboo. Thus a tenth of a shaku is a measurement.","Ten</em> <em>drops</em> of <em>glue, a measurement true.","A measurement of one tenth (a drop of ten) of a shaku, an archaic Japanese unit of length.","The metric system uses drops</em> of <em>ten as a measurement, a practice which will stick like glue, hooking at the end.","Decimal is measurement in drops of ten.","On an X-Y GRAPH, look in the 3rd quadrient for the correct measurement. (i like math &gt;.&gt;)."
46,"After you have chosen your 10</em> <em>fields</em> of study, <em>measure how good you are at each to find out your specialty.","10 brains glued together allows you to specialize in any specialty</strong> that you want. Imagine each brain having its own<strong> specialty.","She&#039;s so good at her speciality, it&#039;s like ten</em> <em>brains</em> <em>glued together.","I&#039;m a Rice Field Measurer! That is, my specialty is &#039;measuring&#039; &#039;ten&#039; &#039;rice fields&#039; at a time.","A person&#039;s specialty or field</em>, may change <em>up</em> to <em>ten</em> times before they finally settle <em>down</em> and <em>stick with their liking.","RTK II:　セン　専門家　せんもんか(a specialist) / Take ten</em> <em>fields</em> of study, and take a <em>measurement in which you are best. That&#039;s your specialty.","My specialty</strong> is a bit unusual. I can take ten rice fields and glue them together. It takes a lot of strength, and because I&#039;ve taken anabolic steroids for the past 20 years, I can do it. It&#039;s my<strong> specialty and no one else&#039;s.","Finding your specialty in life is very difficult. But imagine if you had ten brains glued together - then surely you figure out something!","My specialty is made up of ten</em> different <em>fields</em> of study <em>glued together.","I measured</em> up the <em>ricefield</em> <em>ten</em> times and it became my <em>specialty."
47,"Ten specialties grants you the title of Dr. with a dot.","Watch for <a href="/study/kanji/0.000000E+005"Needles</em> are a Dr.&#039;s <em>specialty.","Note: Use Ph.D.</strong> rather than <strong>Dr.</strong> to avoid confusion with <strong>doctor</strong> and to be more in line with common use of this kanji. Ten</em> <em>specialities</em> grants you the title of <strong>Ph.D. with a <em>dot.","Dr. Who weaves like a needle</em> through the fabric of time, to <em>drop in unexpectedly has become his <a href="/study/kanji/0.000000E+005"Ten years specializing (4 under graduating, 2 mastering and 4 taking Ph.D) makes you a Doctor, but it leaves with just a drop of hair in your head.","Problems really arise here (and later with dilute <a href="/study/kanji/0.000000E+008"It&#039;s not hard to think of a Dr. as a &#039;needle specialist&#039;.","A Dr. is somebody who specializes (専) in blood (&#039;) and needles (十).","I don&#039;t want 10 specialists, I just want my Dr. on the dot!!"
48,"Fortune-telling: using a mouth as a divining rod.","A great number of people who do fortune-telling are &quot;almost old&quot;.","To do fortune-telling put a magic wand</em> in your <em>mouth.","The mouth of a fortune-teller is a superior (above) mouth.","She is good at fortune-telling</strong>. With a divining rod</em> and her <em>mouth, (and by looking at the position of <strong>Uranus</strong> in the sky) <strong>she</strong> may <strong>SENSE the future. (Kun readings are urana and shi(me), ON reading is SEN).","The old fortune teller was missing an arm.","A magic wand</em> and a big <em>mouth... All needed to give a fortune-telling.","Note: This kanji is also used in &quot;monopolizing&quot; and monopoly &quot;一人占め&quot; and &quot;独占&quot;. I remember this with the famous Oracle of Delphi. It monopolized Greek fortunetelling for a very long time.","The mouth is telling what will happen above and beyond today.","Fortune-telling is a mouth that speaks above this plane."
49,"A magic wand standing on above the floor.","The divining rod</em> is above the <em>floor.","Water Faucet is ABOVE the Ground.","Whoa, that magic wand</em> is above the <em>floor by itself!","Zombies come above ground at night.","I hold my hand above my broom as I cry &quot;UP!&quot;","うえ … Ex バルコニーは通りの上に</strong>突き出している … The balcony sticks out<strong> above</strong> the street … どおり、つきだして … 平均以上 … へいきんいじょう (<strong> above-average) 「ショウ、うわ、かみ、のぼ.る」上着、上手 … うわぎ、じょうず.","A magic wand</em> floating above the <em>floor.","[ above</strong> = magic wand</em> / <em>floor</em> ] - a <em>magic wand</em> hovers <strong>above the <em>floor ... like magic.","Above / on the floor. Jou: 上手 (jouzu) Ue: 机の上 (tsukue no ue)."
50,"Roots are below the ground.","A magic wand hanging below the ceiling.","Peeing off a cliff &quot;Watch out BELOW!&quot;","The divining rod</em> is below the <em>ceiling.","This time the DIVINING ROD has been pushed below the ceiling deforming its handle.","A T with it&#039;s wang below.","下 = した	1: below; down; under; younger (e.g. daughter); 2: bottom; 下 = もと	under (esp. influence or guidance) 下す = くだす	1: to make (a decision); to pass (judgement, etc.); to hand down (orders, etc.); 2: to let go down; to lower; 下る = くだる	1: to descend; to go down; to come down; 2: to be handed down (of an order, judgment, etc.); 3: to pass (of time); 下り = くだり 1: down-train (going away from Tokyo); 2: down-slope; downward going.","Warning: BELOW my waste, a limp dick.","A plant&#039;s roots are always below ground.","した … ① 太陽は地平線下</strong>に没した … たいよう、ちへいせん、ぼっ.する … Sun went<strong> below</strong> horizon … 下がる、<strong>さ</strong>.げる-がる … ② 川の水位が<strong>下がった</strong> … かわ、すいい … 下る、<strong>くだ</strong>.る-す … ③ 彼女に有罪の判決が<strong>下った</strong> … ゆうざい、はんけつ … 降下、こうか … 「<strong>ゲ、しも」… 下品、げひん、下北沢、しもきたざわ."
51,"The most eminent magician is he who learned to use his magic wand early in life.","The world&#039;s most eminent sourcerer, Harry Potter, used his magic wand early in life.","When a car (　車　) <a href="/study/kanji/0.000000E+008"The eminent sunflower is the one that stands above the others.","The world&#039;s most eminent fortune-teller is also the earliest of all. He produces his predictions amazingly fast.","Eminent is above early.","Eminent wizards use their magic wands early.","Picture Yotsuba waving around a sunflower like a magic wand, dressed up like an eminent old wizard with a long fake beard.","An eminent magician is up early</em> with his <em>magic wand</em> (practicing <em>table tennis (卓球) against an enchanted paddle).","Wake up early</em> and practice with your <em>magic wand if you want to become an eminent wizard."
52,"There is mist as the moon fades away in the morning.","Morning has come &quot;ten&quot; hours &quot;early&quot;!!! The &quot;moon&quot; is still in the sky!","In the morning, god picks the sun</em> up to the sky with two <em>needles</em> (because it&#039;s too hot to touch by hands) to replace the <em>moon.","In the morning the mist</em> and <em>moon fades away.","The morning mist</em> is the <em>moon</em>&#039;s parting tears--sprinkling <em>ten early flowers with dew when she leaves the sky each day.","The morning sun has 20 times the power of the moon.","Morning = From moon to 10 in the day. --- Careful with this &quot;mist&quot;, as it&#039;s not the actual Kanji for Mist (霧). (I was almost fooled myself, heh.)","Mist</em> and <em>moon, it&#039;ll be morning soon.","At ten</em>, <em>early</em> in the morning, you can still see the <em>moon.","Every morning, the sun sprouts needles to scare away the moon."
53,"Imagine an animal with only a mouth</em> and <em>legs.","My girlfriend insists that the only</em> thing I want from her is what&#039;s between her legs.. She&#039;s drawn me this pictograph to demonstrate. It&#039;s a <em>head and two legs spread apart.. I explain that I also love her breasts, and then she smacks me in the face. I&#039;ll never understand women.. (I keep failing this kanji, hopefully this silly story will help me!)","Only your mouth runs faster than your legs.","Tada</strong>!... <strong>SHE</strong> is the<strong> only</strong> animal with<strong> only a mouth</em> on <em>legs and no body! (Kun reading tada, ON reading SHI).","Men only want that mouth between the legs.","Kirby is the only</strong> one of his kind. He is basically<strong> only a walking MOUTH, with short ANIMAL LEGS.","ONLY one MOUTH for every two LEGS.","My &quot;one and only&quot; has a talkative mouth</em> and a nice pair of <em>legs.","Ordinary; common;<strong> only</strong>.</strong> COMMON OR ORDINARY PEOPLE<strong> ONLY</strong> LIVE HANDS</em> TO <em>MOUTH. 只言 (plain speech; direct speech); 只管 (just now); 只今帰りました (tadaimakaerimashita); 只事 (trivial matter); 只者 (ordinary person, neg.); 只取り (getting something for nothing); 只乗り (free ride); 只働き (working for free); 只言 (plain speech; direct speech); 只ならぬ (unusual, uncommon, extraordinary, alarming); 只只 (absolutely;<strong> only); 只の人 (man on the street; common person).","Once upon a time, men only saw women as walking vaginas."
54,"Eye</em> thought I saw a shellfish <em>legging it down the beach!","Stare at the shellfish, it looks like an eye with legs.","Remove the eyes</em> and the <em>legs, and a shellfish tastes great!","As a primitive this is very often best interpreted as &quot;Old Money,&quot; for example: bribe [80] (possessing old money), tribute [81] (the craft of making old money), rule [88] (old money was ruled by the sword), savings [194] (old money stored in the house and nailed under floorboards), failure [331] (to avoid failure in creating old money a hard taskmaster was needed)... The list goes on.","The guy</strong> couldn&#039;t <strong>BUY</strong> any<strong> shellfish</strong> which had one giant eye</em> and walked on <em>animal legs, so he went out in his <strong>kayak to catch some. (Kun readings are kai or gai, ON reading is BAI).","SHELLFISH look like big eyes</em> with <em>legs.","Ah! A one-eyed</em> shellfish&#039;s running along the beach on its little <em>legs</em>, terrifying tourists. As a primitive, this can mean <em>shells</em>, <em>oyster</em>, or <em>clam.","That shellfish looks like a big eye</em> with <em>animal legs.","Shellfish (when its open a bit) looks like huge eye</em> with little <em>legs sticking out of it.","Remember this as your &quot;money&quot; radical. shellfish - money. in the olden days, people traded shells as money."
55,"A magic wand</em> is needed to make a <em>clam stand upright.","Just the thought of my magic wand</em> on her <em>clam</em> makes my <em>magic wand stand upright.","貞 【てい】 (n) (1) firm adherence to one&#039;s principles; (2) chastity (of a woman) what this has to do with &quot;upright&quot;... not sure. but heres a story for CHASTITY: &quot;a magician uses his MAGIC WAND to shut the crotch of a maiden as tight as a CLAM, to protect her CHASTITY&quot;.","To get the shellfish</em> to stand upright, just poke it with a <em>magic wand!","Careful! This means upright in character, not in position. So although the magically standing shellfish is a cute image, it doesn&#039;t convey the right meaning. This character is mainly used to represent a woman&#039;s chastity, purity or fidelity, so I just associate chastity</em> with <em>magic oyster.","An UPRIGHT person is above</em> (上) petty disputes, and always holds their head <em>up</em> (上). Since they live on principle, they are as hard or firm as a <em>shell</em> in their beliefs of what is right and what is wrong. They are wise, because they find the pearls of wisdom in the <em>shells of life; 童貞 (virginity); 不貞 (unfaithful); 貞はる (harp too long on a subject); 貞淑 (chastity, virtue); 貞女 (virtuous woman); 不貞寝 (stay in bed out of spite); .","Harry Potter is an upright citizen that would not use his wand</em> to steal <em>money illegally.","Eating shellfish</em> will make your <em>magic wand stand upright.","The upright/chaste maiden used her magic wand to escape from the evil shellfish gang. [貞 【てい】 (n) (1) firm adherence to one&#039;s principles; (2) chastity (of a woman)] (thanks to romanrozhok for the definition).","The TA</strong>LE <strong>said</strong> that touching a magic wand</em> to the top of the <em>shellfish</em>&#039;s <em>eye</em> will make it walk<strong> upright</strong> on its little <em>animal legs. But it was just a <strong>joke. (ON reading TEI, kun reading sada, other reading JOU)."
56,"An employee</strong> (<strong>member of the company) has to clam up his mouth if he wants keep the job!","An employee is basically a shellfish with a mouth.","An employee</strong> is a worker. They lend their mouth</em> (口) to spread a message &amp; sell products; <em>eyes</em> (目) to watch competitors &amp; find customers; and <em>eight</em> (八) hours a day. Alt., an<strong> employee</strong> is a <em>shell</em> (貝) in the ocean of a company; it looks up to the boss&#039;s <em>mouth (口) for orders. 医員(doctor); 一員(member); 駅員(station attendant); 委員(committee member);会社員(company<strong> employee); 海員(sailor);楽員(band member); 期間契約社員 (fixed term contractor).","Employees work and earn clams so that they can feed their mouths.","An employee is not a robot (Calculon&#039;s friend), he&#039;s got a mouth</em> to feed. Pay him more than a few <em>clams!","&quot;But sir, It&#039;s a shellfish with a mouth!&quot; &quot;I don&#039;t care! He starts monday!&quot;","That new employee better clam</em> his <em>mouth shut before he gets fired.","A good employee keeps his MOUTH shut as tight as a SHELLFISH. 社員　しゃいん.","Picture the poor employee at the seafood restaurant, forced to stand outside in a giant crab</em> costume with only his <em>mouth showing.","If you&#039;re an employee</strong> you need to watch your mouth</em> 口 and <em>clam 貝 up. 会社員、かいしゃいん, company<strong> employee."
57,"As a primitive, this is Mike Wazowski from Monsters Inc. (the giant eyeball</em> with <em>legs</em>...) Makes for <em>easy stories later on.","Eyes and legs are all you need to see the world.","Men&#039;s eyes</em> open wide when they see</strong> the <em>legs</em> of a beautiful woman. (Alternatively, women&#039;s <em>eyes</em> open wide when they<strong> see the <em>legs of a handsome guy ;) ).","The large eye</em> on <em>human legs sees all!","見る, 見える, 見せる <a href="/study/kanji/0.000000E+0080X0P+06"I see best when I am walking!","Although <a href="/study/kanji/0.000000E+005"Using our eyes</em> 目 lets us walk around on our <em>human legs 儿 and see</strong> things. 見る、みる, to<strong> see; 見どころ、みどころ, highlight, attraction, best part: 梅の花は今週が見どころです, &quot;The plum blossoms are at their best this week.&quot; 見物、けんぶつ, sightseeing, a visit: 明日は美術館を見物する予定です, &quot;Tomorrow I&#039;m planning to visit the art museum.&quot; 見物人、〜じん, a sightseer.","I want to see Japan with my own eye on my own two feet.","Eye</em> (I) see <em>legs."
58,"In the olden times</em>, a newborn babe came out <em>legs first.","In the olden times</em>, a newborn babe came from between the <em>legs. Now we have cesarean section. [modified rakutenka&#039;s story].","In olden times newborn babes were strapped to their mothers&#039; backs, leaving both their legs dangling.","The man from olden times</strong> has been reincarnated with a new pair of <strong>human legs.","A newborn babe is an 18 year commitment that will have you running</em> for <em>olden times!","In olden times</em>, before I could walk on <em>human legs, I was just a newborn babe.","It is said, that in the OLDEN DAYS, NEWBORN BABES could walk on their LEGS when they are only 1 day old.","This just looks exactly like a newborn babe as viewed from the side, crawling to the left. The head on the left, the nappy on the right, the little arm bending forwards and his little leg bent at the knee as he crawls along.","After 18</em> hours of labour, the newborn babe came out <em>legs first (育児).","Old</em> Father <em>time</em> usually has a newborn babe at his <em>feet to signify the cyclical nature of time."
59,"In the beginning were just two</em> who walked on <em>human legs.","In the beginning God created woman, and God asked her how she liked his work. Woman replied, &quot;Well, you know how I have two</em> eyes, <em>two</em> arms, <em>two legs</em>... it seems redundant to have three breasts. It would look more symmetrical with <em>two</em>.&quot; God nodded, and the middle breast fell off... and it was good. Woman picked up the breast and said, &quot;Thank you, God! But what do I do with this useless boob?&quot; And God created man. That&#039;s why the women today only have <em>two</em> boobs to match their <em>two human legs.","Every journey begins with your two legs.","Grandpa Woody always began stories from his youth with &quot;In the beginning, when I had two</em> <em>legs...&quot;","Two legs are the beginning of human evolution.","Ready ( 一 ) Steady ( 一 ) Go! (legs). This is a start, a beginning.","In the beginning we start out with nothing but our own two legs.","In the beginning there were two</em> humans with legs (<em>human legs!) Adam and Eve.","With two pairs of legs we can see the beginning of a lot of good old sex.","Everyone&#039;s beginning is the same, those TWO lips at the top of your mother&#039;s LEGS."
60,"A shellfish</em> carrying a page balanced on its <em>head.","One</em> <em>drop</em> of ink from a <em>shellfish can fill a whole page.","A shellfish</em> dangles from the <em>ceiling Mission-Impossible style, desperate to recover the page of revealing images that were taken from him.","頁岩, 頁, <a href="/study/kanji/0.000000E+0090X0P+00"One</em> page may not seem like much, but if it contains <em>drop</em> of wisdom, it is worth the <em>clams</em> you <em>shelled out for it.","Excuse for not handing in homework: &quot;the shellfish ran off with a page from my notebook.&quot;","A shellfish</em> scurries off with a page of the treasure map on it&#039;s <em>head.","Our shellfish is balancing a PAGE on its top edge, but it&#039;s cheating! Look, there&#039;s a drop of glue holding it there!","A shellfish</em> dangling on the <em>ceiling is all over today&#039;s front page!","Front page</em> news: <em>shellfish</em> <em>drops</em> from <em>ceiling!"
61,"A stubborn person in the beginning</em> gets something into their <em>head and can&#039;t change their mind.","Picture a STUBBORN schoolboy, with his arms crossed and his book still open to the BEGINNING PAGE. Despite the teacher telling him to turn the page, he refuses and keeps his book on the BEGINNING PAGE.","He&#039;s so stubborn, he won&#039;t read past the beginning page!","Stubbornness begins in the head.","ガン Stubborn</strong> = determined not to change your opinion or attitude. If you are<strong> stubborn, the opinion or attitude you had from the beginning</em> is firmly rooted in your <em>head and will not change. 頑張る　（がんばる）　persist; be tenacious; hold out; 頑固な　（がんこな）　stubborn; obstinate; bigoted.","I tend to be STUBBORN if the first (beginning</em>) <em>page of a book is not good.","People are very stubborn in their interpretation of the beginning page of the Bible.","In the BEGINNING</em> I was very stubborn with my kanji practise: now I am on a roll, I am whizzing through each <em>PAGE of Heisig&#039;s book.","A stubborn</strong> person never wants to go beyond the first</em> 元 <em>page 頁, or to change his head from its original state. 頑張る、がんばる, to persist, hang in there (+ lengthen), e.g. 頑張って下さい、がんばってください; 頑固、がんこ,<strong> stubborn, hardheaded.","Too stubborn</strong> to read even the <strong>Beginning</strong> of the <strong>Page."
62,"Is there anything as mediocre as a drop of piss in the wind?","A drop</em> of breeze is naught but a mediocre <em>wind.","A drop of rain in the wind... what a mediocre rainy season...","Mediocre people hide under the table.","All we are is Dust in the Wind- a great example of a mediocre song.","Nothing is more mediocre than a single drop in the wind.","There&#039;s no A in mediocre.","As mediocre as a drop</em> in the <em>wind.","A little droplet of fart floating in the wind is a mediocre attempt at flatulence.","We are as mediocre as a drop of dust in the wind. (Think Kansas - Dust in the wind)."
63,"Tied up</em>, the <em>shellfish had to accept defeat!","The shellfish</em> admitted defeat when they placed a <em>hook on top of his head.","A shellfish bound up in a fisherman&#039;s net has been defeated.","Defeat is defined by a shellfish in binds.","If you are DEFEATED you are BOUND into slavery and the world will not be your OYSTER.","In these days it&#039;s obvious: if you tie up</em> your <em>money in the wrong place, you&#039;ll have to accept defeat.","The defeat</strong>ed man took the bound</em> <em>money</em>purse full of <em>clams from his belt and cast it at the feet of the victor to concede<strong> defeat.","Since I was DEFEAT</strong>ED in the game, I had to bundle up my money to give to the winner.　相手を負かす＝あいてをまかす＝ to<strong> defeat the opponent.......... お負け=おまけ= freebie (e.g. with a purchase); something additional; bonus; an extra; exaggeration o フ k まける k まかす k おう.","負ける、ま</strong>-かす-ける … ① 私たちは野球で彼らを<strong>負かした</strong> … やきゅう … We<strong> defeat</strong>ed them at baseball … ② 彼は決して<strong>負け</strong>を認めないだろう… けっして、みと.める … He will never admit<strong> defeat</strong> … 勝負 … <strong>しょうぶ</strong>- <a href="/study/kanji/0.000000E+005"It&#039;s easy to defeat a shellfish</em>, just <em>bind it up sturdily and it will be down for the count."
64,"I bound</em> ten thousand dollars together and hid it under the <em>floor.","It looks like a T and an H put together.","IT&#039;S OVER 9000!!!!!!","We have &quot;one&quot; at the top and if you turn the kanji 90 degrees you will see arabic 4 shich means it has four zeros in front of it!","Looks like T</em> and <em>h</em>, sharing the same stem.. <em>Th are the first two letters in thousand.","Think of Tao: ten thousand things are all bound up</em> into <em>one.","This kanji makes me think of money in Japan. two primitives: &quot;one&quot; and &quot;bound up&quot; Put them together by thinking of 10,000 yen notes bundled together in batches, each batch with one note wrapped around it rather than a rubber band or string, etc.","T is for TEN as Th is for a THOUSAND.","I was bound for ten thousand years to the ceiling!","[ ten thousand</strong> = one</em> / <em>bound up</em> ] - <strong>ten thousand is the first (<em>one</em>) bundle (<em>bound up) of numbers in Japanese numeracy; cf <a href="/study/kanji/0.000000E+00465,"Some Japanese phrases are difficult to wrap</em> your <em>mouth around.","A bound mouth cannot utter a single phrase.","A phrase is a bunch of bound up words coming out of a mouth.","I use my mouth</em> to <em>bind words together, thus forming a phrase or sentence (句).","Phrase; clause; sentence; passage; paragraph.</strong> This Kanji has two radicals: (1) mouth (口); and (2) the wrapping enclosure (勹). To master a<strong> phrase, you must wrap</em> your <em>mouth around it.","A tricky phrase can bind up</em> your <em>mouth.","Bind</em> your <em>mouth in case the wrong phrase gets out.","[FR]phrase japlt:N1 KU</strong> kanji&amp;kana:337 paquet+bouche Les mots mis en <strong>PAQUETS</strong> au fond de notre <strong>BOUCHE</strong> deviennent à la sortie des <strong>PHRASES</strong>俳句【はいく】haiku poetry (poem in 3 lines of 5, 7 and 5 syllables)四字成句【よじせいく】Chinese four-character<strong> phrase</strong> or idiomatic expression語句【ごく】words;phrases成句【せいく】idiomatic<strong> phrase句読点【くとうてん】 punctuation marks引用句【いんようく】citation.","The phrase was BOUND around his MOUTH.","A phrase is words that get BOUND UP into a group before they come out of your MOUTH. 俳句　はいく poem (one kind of)."
66,"When you expose your flesh</em> to the <em>wind it gets textured: goosebumps!","The moon</em>&#039;s lack of <em>wind preserves its texture.","Because the moon</em> has no <em>wind the texture of it&#039;s cratered surface never changes or erodes.","The Moon And The Wind Create The Sea&#039;s Wavey Texture!","はだ　TEXTURE; SKIN. ”The FLESH (part of the body) that you expose to the WIND is your SKIN (note the order), which eventually becomes textured as a result of such exposure.&quot; Eg.　鳥肌が立つ　（とりはだがたつ） to get goosebumps. 肌寒い　chilly.","A month of wind changes the texture of your skin.","The texture</strong> of your flesh</em> 月 is roughened by the <em>wind 几. This also means <strong>skin</strong>. 肌色、はだいろ, flesh-colored; 肌着、はだぎ, underwear, clothing worn next to the <strong>skin; 地肌、じはだ, surface of the ground, the skin.","Moisturizer helps protect the flesh</em> from having a texture from being in the <em>wind.","FLESH + WIND = TEXTURE</strong>D=SKIN_____ FLESH affectd by wind, changes the<strong> texture</strong> of the SKIN. Also: 肌 【はだ】 (n,n-suf) (1) skin; body; (2) grain (e.g. of wood);<strong> texture;.","The moon seems to have a different texture in the wind."
67,"Hint: Here&#039;s info from Wikipedia regarding why this kanji exists, which helped me remember it: [Japan also divides the month roughly into three 10-day periods. Each is called a jun (旬). The first is jōjun (上旬); the second, chūjun (中旬); the last, gejun (下旬). These are frequently used to indicate approximate times, for example, &quot;the temperatures are typical of the jōjun of April&quot;; &quot;a vote on a bill is expected during the gejun of this month.&quot;].","Hesig should be BOUND for a DAY (or maybe 10 days - a decameron</strong>) for calling this Kanji<strong> DECAMERON. See <a href="/study/kanji/0.000000E+0060X0P+0E"What the fuck?","If you bind up ten days, you get a decameron.","For producing Titanic, James deCameron should be bound for 10 days.","HINT: All the stories seem to have &#039;10&#039; in them, but the primitive isn&#039;t featured, which is confusing. So my story: How many days were bound up in a decameron? It doesn&#039;t matter!","It would tie up a whole day to read The Decameron.","Heisig should be bound</em> up for 10 <em>days</strong> for calling this kanji<strong> decameron!","The Japanese divide the months into three parts. Each part is made up of ten days. The day</em>s are <em>bound together so they make more sense.","Decameron; 10day period; season (in the sense of &#039;fish&#039; or &#039;fruit&#039; season).</strong> The<strong> decameron</strong> is a story of ten days</em> which are <em>wrapped</em> or enclosed in a single text. Another way to look at this Kanji is to think of the fishing <strong>season, when fresh fish are <em>wrapped</em> (勹) up and sold at the market every <em>day (日)."
68,"A ladle binds drops together.","Forget about the primative &#039;bound up&#039;. Imagine instead the shape of a ladle and holding it upside down to drink the last DROP (of water).","I&#039;m bound and determined to get that last drop with this ladle!","勺<a href="/study/kanji/0.000000E+005"In the SHACK</strong>, a single drop</em> was <em>bound up in a<strong> ladle. (ON reading is SHAKU).","A ladle holding a tiny fart.","There&#039;s always bound</em> to be one <em>drop left in the ladle.","Liquid can&#039;t be completely bound up</em> in ladle, so a <em>drop is bound to spill.","Un cucharón se usa para empaquetar</em> las <em>gotas de la sopa y llevarlas a tu boca.","The last &#039;drop&#039; is &#039;bound&#039; to be in the ladle."
